tipo,chave_sugerida,marca,nome_ou_grupo,aliases_ou_membros,categoria,status,confianca,requer_teste_seco,justificativa,risco
novo_modelo,motorola_edge_40,Motorola,Motorola Edge 40,Edge 40|Moto Edge 40|Motorola Edge 40|Edge40,,novo,media,true,Modelo prioritario da loja ausente do catalogo,Tela pOLED com curvatura leve; pelicula especifica; NAO agrupar
novo_modelo,poco_c55,POCO,POCO C55,POCO C55|Poco C55|C55,,novo,media,true,Modelo prioritario ausente; gemeo de projeto do Redmi 12C,Alias C55 colide com realme_c55 existente; exigir contexto de marca
novo_modelo,poco_m5,POCO,POCO M5,POCO M5|Poco M5|M5,,novo,media,true,Modelo prioritario ausente,Alias M5 curto/ambiguo; familia de tela nao catalogada; pesquisar antes de agrupar
novo_modelo,realme_c21,Realme,Realme C21,Realme C21|C21|Realme C 21,,novo,media,true,Modelo prioritario ausente; familia C11/C20/C21,
novo_modelo,infinix_hot_10,Infinix,Infinix Hot 10,Hot 10|Infinix Hot 10|Hot10,,novo,media,true,Linha de alto volume em loja popular; ausente do catalogo,Variantes Play/Lite/i tem frentes diferentes; catalogar variante exata
novo_modelo,infinix_hot_11,Infinix,Infinix Hot 11,Hot 11|Infinix Hot 11|Hot11,,novo,media,true,Linha de alto volume; ausente do catalogo,Variantes Play/S tem frentes diferentes
novo_modelo,infinix_hot_12,Infinix,Infinix Hot 12,Hot 12|Infinix Hot 12|Hot12,,novo,media,true,Linha de alto volume; ausente do catalogo,Variantes Play/i/Pro tem frentes diferentes
novo_modelo,infinix_hot_20,Infinix,Infinix Hot 20,Hot 20|Infinix Hot 20|Hot20,,novo,media,true,Linha de alto volume; ausente do catalogo,Variantes 5G/i/Play tem frentes diferentes
novo_modelo,infinix_hot_30,Infinix,Infinix Hot 30,Hot 30|Infinix Hot 30|Hot30,,novo,media,true,Linha de alto volume; ausente do catalogo,Variantes i/Play tem frentes diferentes
novo_modelo,infinix_hot_40,Infinix,Infinix Hot 40,Hot 40|Infinix Hot 40|Hot40,,novo,media,true,Linha de alto volume; ausente do catalogo,Variantes i/Pro tem frentes diferentes
novo_modelo,infinix_smart_8,Infinix,Infinix Smart 8,Smart 8|Infinix Smart 8|Smart8,,novo,media,true,Sucessor direto do Smart 7 ja catalogado,Variante HD tem frente propria
novo_modelo,tecno_spark_10,Tecno,Tecno Spark 10,Spark 10|Tecno Spark 10|Spark10,,novo,media,true,Linha de alto volume; ausente do catalogo,Variantes Pro/C tem frentes diferentes
