"Nº do pedido";"Produto";"Quantidade";"Valor unitário"
"1";"capinha de 25,00";"2";"25,00"
"1";"Pelicula 3D vidro";"1";"25,00"
"2";"Garrafa termica a vacum com termometro";"1";"49,90"
"3";"CABO USB TIPO C";"1";"29,99"
"4";"acessorio de celular bixinhos";"1";"12,99"
"4";"Pelicula 3D vidro";"1";"25,00"
"5";"Carregador completo 20w hrebos";"1";"60,00"
"6";"Pelicula 3D vidro";"1";"15,00"
"7";"Fone de ouvido hrebos bluetooth";"1";"39,90"
"8";"Pelicula 3D vidro";"2";"24,90"
"9";"Cabo USB Lightning Hrebos";"1";"40,00"
"10";"Conserto Conector de Carga";"1";"50,00"
"11";"Pelicula Cerâmica";"1";"20,00"
"12";"Capa Anti-Impacto";"1";"35,00"
"13";"Fone Bluetooth Pro";"1";"110,00"
"14";"Pelicula Vidro Simples";"1";"25,00"
"15";"Carregador Veicular Turbo";"1";"85,00"
"16";"Cabo Micro-USB";"1";"25,00"
"17";"Suporte Magnético Carro";"1";"65,00"
"18";"Fone Auricular com Fio";"1";"64,90"
"19";"Pelicula Privacidade";"1";"35,00"
"20";"Adaptador OTG";"1";"64,90"
"21";"Pop Socket Personagem";"1";"25,00"
"22";"Capa Silicone Velvet";"1";"45,00"
"23";"Cabo USB-C para USB-C";"1";"35,00"
"24";"Anel de Suporte";"1";"25,00"
"25";"Limpa Tela Kit";"1";"30,00"
"26";"Cartão de Memória 64GB";"1";"115,00"
"27";"Fone de Ouvido Sport";"1";"39,90"
"28";"Pelicula de Câmera";"1";"60,00"
"29";"Bateria Externa Power Bank";"1";"140,00"
"30";"Protetor de Cabo";"1";"20,00"
"31";"Carregador Turbo 20W";"1";"130,00"
"32";"Fone Bluetooth JBL";"1";"150,00"
"33";"Cabo USB-C Nylon";"1";"45,00"
"34";"Pelicula Simples";"1";"15,00"
"35";"Limpeza de Conector";"1";"10,00"
"36";"Capa Silicone";"1";"25,00"
"37";"Pelicula Vidro";"1";"15,00"
"38";"Pelicula Vidro";"1";"15,00"
"39";"Carregador Completo";"1";"80,00"
"40";"Cabo Lightning";"1";"40,00"
"41";"Capa Anti-Impacto";"1";"25,00"
"42";"Pelicula Cerâmica";"1";"45,00"
"43";"Suporte Veicular";"1";"35,00"
"44";"Pelicula Vidro";"1";"15,00"
"45";"Capa Personalizada";"1";"45,00"
"46";"Pelicula Vidro";"1";"15,00"
"47";"Capa MagSafe";"1";"45,00"
"48";"Pelicula 3D";"1";"25,00"
"49";"Fone com Fio";"1";"50,00"
"50";"Capa Colorida";"1";"25,00"
"51";"Pelicula Simples";"1";"15,00"
"52";"Carregador 10W";"1";"55,00"
"53";"Cabo Turbo";"1";"30,00"
"54";"Capa Flexível";"1";"25,00"
"55";"Pelicula Privacidade";"1";"35,00"
"56";"Pelicula 3D";"1";"25,00"
"57";"Pelicula Vidro";"1";"15,00"
"58";"Fone Bluetooth Premium";"1";"149,00"
"59";"Capa Silicone";"1";"25,00"
"60";"Pelicula Cerâmica";"1";"25,00"
"61";"Cabo USB-C";"1";"25,00"
"62";"Capa Anti-Queda";"1";"25,00"
"63";"Carregador Rápido";"1";"60,00"
"64";"Pelicula 3D";"1";"25,00"
"65";"Cabo V8";"1";"20,00"
"66";"Pelicula Cerâmica";"1";"30,00"
"67";"Pelicula Vidro";"1";"15,00"
"68";"Capa Transparente";"1";"25,00"
"69";"Suporte Magnético";"1";"65,00"
"70";"Pelicula 3D";"1";"35,00"
"71";"Capa Silicone";"1";"25,00"
"72";"Pelicula Vidro";"1";"25,00"
"73";"Capa Anti-Impacto";"1";"35,00"
"74";"Pelicula Simples";"1";"12,00"
"75";"Cabo Lightning";"1";"40,00"
"76";"Pelicula Vidro";"1";"10,00"
