pair_id,model_a_id,model_a_name,model_a_brand,model_b_id,model_b_name,model_b_brand,supporting_group_ids,supporting_group_count,same_brand,cross_brand,best_evidence_status,worst_evidence_status,source_count,has_confirmed_supplier,has_bench_confirmation,has_probable_market,has_requires_test,has_conflict,public_visibility,mvp_eligibility,public_warning,source_files,notes
pair_0001,apple_iphone_11,Apple iPhone 11,Apple,apple_iphone_xr,Apple iPhone XR,Apple,XR / iPhone 11 | iPhone XR / 11,2,true,false,confirmado_fornecedor,confirmado_fornecedor,2,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0002,apple_iphone_11_pro,Apple iPhone 11 Pro,Apple,apple_iphone_x,Apple iPhone X,Apple,iPhone X / XS / 11 Pro,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0003,apple_iphone_11_pro,Apple iPhone 11 Pro,Apple,apple_iphone_xs,Apple iPhone XS,Apple,XS / 11 Pro | iPhone X / XS / 11 Pro,2,true,false,confirmado_fornecedor,confirmado_fornecedor,2,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0004,apple_iphone_11_pro_max,Apple iPhone 11 Pro Max,Apple,apple_iphone_xs_max,Apple iPhone XS Max,Apple,XS Max / 11 Pro Max | iPhone XS Max / 11 Pro Max,2,true,false,confirmado_fornecedor,confirmado_fornecedor,2,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0005,apple_iphone_12,Apple iPhone 12,Apple,apple_iphone_12_pro,Apple iPhone 12 Pro,Apple,iPhone 12 / 12 Pro,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0006,apple_iphone_12_mini,Apple iPhone 12 Mini,Apple,apple_iphone_13_mini,Apple iPhone 13 Mini,Apple,iPhone 12 Mini / 13 Mini,1,true,false,precisa_testar,precisa_testar,1,false,false,false,true,false,hidden,NAO_PUBLICAVEL,Nivel de confiança baixo; requer teste seco presencial em bancada,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0007,apple_iphone_13,Apple iPhone 13,Apple,apple_iphone_13_pro,Apple iPhone 13 Pro,Apple,iPhone 13 / 13 Pro / 14 / 16e,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0008,apple_iphone_13,Apple iPhone 13,Apple,apple_iphone_14,Apple iPhone 14,Apple,iPhone 13 / 13 Pro / 14 / 16e,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0009,apple_iphone_13,Apple iPhone 13,Apple,apple_iphone_16e,Apple iPhone 16e,Apple,iPhone 13 / 13 Pro / 14 / 16e,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0010,apple_iphone_13_pro,Apple iPhone 13 Pro,Apple,apple_iphone_14,Apple iPhone 14,Apple,iPhone 13 / 13 Pro / 14 / 16e,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0011,apple_iphone_13_pro,Apple iPhone 13 Pro,Apple,apple_iphone_16e,Apple iPhone 16e,Apple,iPhone 13 / 13 Pro / 14 / 16e,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0012,apple_iphone_13_pro_max,Apple iPhone 13 Pro Max,Apple,apple_iphone_14_plus,Apple iPhone 14 Plus,Apple,iPhone 13 Pro Max / 14 Plus,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0013,apple_iphone_14,Apple iPhone 14,Apple,apple_iphone_14_pro,Apple iPhone 14 Pro,Apple,iPhone 14 / 14 Pro,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0014,apple_iphone_14,Apple iPhone 14,Apple,apple_iphone_16e,Apple iPhone 16e,Apple,iPhone 13 / 13 Pro / 14 / 16e,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0015,apple_iphone_15,Apple iPhone 15,Apple,apple_iphone_15_pro,Apple iPhone 15 Pro,Apple,iPhone 15 / 15 Pro,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0016,apple_iphone_15,Apple iPhone 15,Apple,apple_iphone_16,Apple iPhone 16,Apple,iPhone 15 / 16,1,true,false,precisa_testar,precisa_testar,1,false,false,false,true,false,hidden,NAO_PUBLICAVEL,Nivel de confiança baixo; requer teste seco presencial em bancada,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0017,apple_iphone_15_plus,Apple iPhone 15 Plus,Apple,apple_iphone_16_plus,Apple iPhone 16 Plus,Apple,iPhone 15 Plus / 16 Plus,1,true,false,precisa_testar,precisa_testar,1,false,false,false,true,false,hidden,NAO_PUBLICAVEL,Nivel de confiança baixo; requer teste seco presencial em bancada,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0018,apple_iphone_16_pro,Apple iPhone 16 Pro,Apple,apple_iphone_17,Apple iPhone 17,Apple,iPhone 17 / 17 Pro / 16 Pro,1,true,false,provavel_mercado,provavel_mercado,1,false,false,true,false,false,beta_only,BETA_COM_AVISO,Recomendado teste seco antes da aplicação em cliente,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0019,apple_iphone_16_pro,Apple iPhone 16 Pro,Apple,apple_iphone_17_pro,Apple iPhone 17 Pro,Apple,iPhone 17 / 17 Pro / 16 Pro,1,true,false,provavel_mercado,provavel_mercado,1,false,false,true,false,false,beta_only,BETA_COM_AVISO,Recomendado teste seco antes da aplicação em cliente,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0020,apple_iphone_16_pro_max,Apple iPhone 16 Pro Max,Apple,apple_iphone_17_pro_max,Apple iPhone 17 Pro Max,Apple,iPhone 17 Pro Max / 16 Pro Max,1,true,false,provavel_mercado,provavel_mercado,1,false,false,true,false,false,beta_only,BETA_COM_AVISO,Recomendado teste seco antes da aplicação em cliente,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0021,apple_iphone_17,Apple iPhone 17,Apple,apple_iphone_17_pro,Apple iPhone 17 Pro,Apple,iPhone 17 / 17 Pro / 16 Pro,1,true,false,provavel_mercado,provavel_mercado,1,false,false,true,false,false,beta_only,BETA_COM_AVISO,Recomendado teste seco antes da aplicação em cliente,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0022,apple_iphone_7,Apple iPhone 7,Apple,apple_iphone_7_branco,Apple iPhone 7 Branco,Apple,iPhone 7/8 Branco,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0023,apple_iphone_7,Apple iPhone 7,Apple,apple_iphone_7_preto,Apple iPhone 7 Preto,Apple,iPhone 7/8 Preto,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0024,apple_iphone_7,Apple iPhone 7,Apple,apple_iphone_8,Apple iPhone 8,Apple,iPhone 7/8 Branco | iPhone 7/8 Preto | iPhone 7 / 8 / SE 2020 / SE 2022,3,true,false,confirmado_fornecedor,provavel_mercado,3,true,false,true,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0025,apple_iphone_7,Apple iPhone 7,Apple,apple_iphone_8_branco,Apple iPhone 8 Branco,Apple,iPhone 7/8 Branco,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0026,apple_iphone_7,Apple iPhone 7,Apple,apple_iphone_8_preto,Apple iPhone 8 Preto,Apple,iPhone 7/8 Preto,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0027,apple_iphone_7,Apple iPhone 7,Apple,apple_iphone_se_2020,Apple iPhone SE 2020,Apple,iPhone 7 / 8 / SE 2020 / SE 2022,1,true,false,provavel_mercado,provavel_mercado,1,false,false,true,false,false,beta_only,BETA_COM_AVISO,Recomendado teste seco antes da aplicação em cliente,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0028,apple_iphone_7,Apple iPhone 7,Apple,apple_iphone_se_2022,Apple iPhone SE 2022,Apple,iPhone 7 / 8 / SE 2020 / SE 2022,1,true,false,provavel_mercado,provavel_mercado,1,false,false,true,false,false,beta_only,BETA_COM_AVISO,Recomendado teste seco antes da aplicação em cliente,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0029,apple_iphone_7_branco,Apple iPhone 7 Branco,Apple,apple_iphone_8,Apple iPhone 8,Apple,iPhone 7/8 Branco,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0030,apple_iphone_7_branco,Apple iPhone 7 Branco,Apple,apple_iphone_8_branco,Apple iPhone 8 Branco,Apple,iPhone 7/8 Branco,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0031,apple_iphone_7_plus,Apple iPhone 7 Plus,Apple,apple_iphone_7_plus_branco,Apple iPhone 7 Plus Branco,Apple,7 / 8 Plus P/B,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0032,apple_iphone_7_plus,Apple iPhone 7 Plus,Apple,apple_iphone_7_plus_preto,Apple iPhone 7 Plus Preto,Apple,7 / 8 Plus P/B,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0033,apple_iphone_7_plus,Apple iPhone 7 Plus,Apple,apple_iphone_8_plus,Apple iPhone 8 Plus,Apple,7 / 8 Plus P/B,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0034,apple_iphone_7_plus,Apple iPhone 7 Plus,Apple,apple_iphone_8_plus_branco,Apple iPhone 8 Plus Branco,Apple,7 / 8 Plus P/B,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0035,apple_iphone_7_plus,Apple iPhone 7 Plus,Apple,apple_iphone_8_plus_preto,Apple iPhone 8 Plus Preto,Apple,7 / 8 Plus P/B,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0036,apple_iphone_7_plus_branco,Apple iPhone 7 Plus Branco,Apple,apple_iphone_7_plus_preto,Apple iPhone 7 Plus Preto,Apple,7 / 8 Plus P/B,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0037,apple_iphone_7_plus_branco,Apple iPhone 7 Plus Branco,Apple,apple_iphone_8_plus,Apple iPhone 8 Plus,Apple,7 / 8 Plus P/B,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
pair_0038,apple_iphone_7_plus_branco,Apple iPhone 7 Plus Branco,Apple,apple_iphone_8_plus_branco,Apple iPhone 8 Plus Branco,Apple,7 / 8 Plus P/B,1,true,false,confirmado_fornecedor,confirmado_fornecedor,1,true,false,false,false,false,visible,PUBLICAVEL_PADRAO,nenhum,docs/catalogo/seeds/device_compatibilities_seed_001.csv,Par dentro da mesma marca.
