source_id,path,file_type,sha256,size_bytes,record_count,columns,encoding,delimiter,source_class,derived_from,last_commit,purpose,quality_status,notes
SRC-001,docs/imports/catalogo/modelos_celulares_para_capinhas.xlsx,xlsx,7c66f906181deed1511e73e8f46d62b19bbcfc12fbd866ebf039fe0953ba3c8b,23708,401,8,binary,n/a,original,none,3f867cb,Lista de aparelhos para títulos de capinhas,PARCIAL,Contém 401 aparelhos para inventário; não é tabela de compatibilidade física de capinhas.
SRC-002,docs/imports/catalogo/peliculas_3d_compativeis.html,html,ae6ed33da5e759c93735ed4596f9592e5e1396de1926d36c221767a45f059a1a,108364,266,embedded_json,utf-8,n/a,original,none,3f867cb,Buscador HTML legado com 266 grupos de películas 3D,PARCIAL,Fonte de agrupamentos de películas 3D e supergrupos cruzados.
SRC-003,docs/catalogo/seeds/device_models_seed_001.csv,csv,30121f00b4950bfdbd37b9136152b2f735431e314139fc9e9ee7107dfb1357cc,55642,429,12,utf-8,comma,seed,"SRC-001,SRC-002",19c2589,Base de modelos canônicos de aparelhos,PRONTO,429 modelos canônicos normalizados cobrindo 10 marcas.
SRC-004,docs/catalogo/seeds/device_aliases_seed_001.csv,csv,15143cf2bbc7fe476f2c639f0e510476883c0e8584f4ae2048e82d8b22abfe8c,245178,1751,9,utf-8,comma,seed,SRC-003,19c2589,Base de aliases e nomes alternativos para busca,PRONTO_COM_RESSALVAS,"1.751 aliases, incluindo 328 ambíguos que exigem contexto de marca."
SRC-005,docs/catalogo/seeds/device_compatibilities_seed_001.csv,csv,3ece94a8b4280a434d0a58a103079fa954a1bcdf3f553bbe6cd23882306fec79,574950,1443,12,utf-8,comma,seed,"SRC-002,SRC-003",19c2589,Base de compatibilidades de películas,PARCIAL,1.443 relações de películas em 117 grupos; 0 relações de capinhas.
SRC-006,docs/catalogo/seeds/device_review_queue_seed_001.csv,csv,45520f82999eaf2d1c56f36ef12e77230a175df6dfe4d6bb74190498320a8b4c,180131,527,9,utf-8,comma,seed,"SRC-003,SRC-004,SRC-005",19c2589,Fila de revisão de conflitos e inconsistências,PRONTO,527 itens catalogados para curadoria técnica.
SRC-007,docs/catalogo/catalogo_gap_peliculas_capinhas_001.csv,csv,30708a0977f475d62c7a9bc4b2ad607f317430ea7c785189460f17a5a0c66ce3,133598,512,11,utf-8,comma,derived_report,"SRC-001,SRC-002",3f867cb,Relatório de gap entre películas e capinhas,DADO_DERIVADO,Relatório comparativo de lacunas.
SRC-008,docs/catalogo/proposta_expansao_peliculas_fable_001_REVISADO.csv,csv,221e53d04c5b6349983b00a4e54bc9064d8bfb2ddd9019180196e4b7cbfb8987,15890,51,14,utf-8,comma,derived_report,FABLE-001,7cf356b,Proposta revisada de expansão de películas,DADO_DERIVADO,51 propostas de modelos/grupos revisados.
SRC-009,lib/catalogo-aparelhos/catalogo-loader.ts,typescript,aa07d78c4ca4d2a400011bc914eb72c0b64b7776fd590f62cb42838a523c3bfb,1964,50,code,utf-8,n/a,code,"SRC-003,SRC-004,SRC-005",19c2589,Carregador server-only dos CSVs de catálogo,PRONTO,Parser/loader server-side dos seeds.
SRC-010,lib/catalogo-aparelhos/catalogo-aparelhos.ts,typescript,7fb3f5b9a78e5e720f901e9dd4ff7007fceb8466a96883661371c1d6f5c50281,11776,275,code,utf-8,n/a,code,SRC-009,19c2589,Engine de busca e normalização de aparelhos,PRONTO,Biblioteca pura de busca por alias/modelo.
SRC-011,lib/catalogo-aparelhos/peliculas.ts,typescript,d5c6b1c79e2039b63de65f74e9984b8b2eb073ce2d564b701f6bf1b9e83e1842,10173,223,code,utf-8,n/a,code,SRC-005,191f7f1,Engine de consulta de películas por modelo,PRONTO,Biblioteca pura de busca de grupos de películas.
SRC-012,docs/audits/PDV_ACESSORIOS_MODELO_COR_AUDIT_001.md,markdown,0cdd26af60d71ea201579c172da0ef7e6955dc51902e0a73dfee450c8fa6c6e4,32127,430,doc,utf-8,n/a,documentation,code,f0bd11e,Auditoria de metadados modelo/cor no PDV,RELATORIO,Documentação do fluxo de runtime de acessórios.
