alias_key,model_key,alias,normalized_alias,alias_type,is_ambiguous,requires_brand_context,confidence,notes
apple_iphone_11__11,apple_iphone_11,11,11,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_11__apple_iphone_11,apple_iphone_11,Apple iPhone 11,APPLE IPHONE 11,canonical,false,false,alta,Nome canonico.
apple_iphone_11__ip_11,apple_iphone_11,IP 11,IP 11,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_11__iphone_11,apple_iphone_11,iPhone 11,IPHONE 11,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_11__iphone11,apple_iphone_11,iPhone11,IPHONE11,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_11_pro__11_pro,apple_iphone_11_pro,11 Pro,11 PRO,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_11_pro__apple_iphone_11_pro,apple_iphone_11_pro,Apple iPhone 11 Pro,APPLE IPHONE 11 PRO,canonical,false,false,alta,Nome canonico.
apple_iphone_11_pro__ip_11_pro,apple_iphone_11_pro,IP 11 Pro,IP 11 PRO,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_11_pro__iphone_11_pro,apple_iphone_11_pro,iPhone 11 Pro,IPHONE 11 PRO,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_11_pro__iphone11pro,apple_iphone_11_pro,iPhone11Pro,IPHONE11PRO,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_11_pro_max__11_pro_max,apple_iphone_11_pro_max,11 Pro Max,11 PRO MAX,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_11_pro_max__apple_iphone_11_pro_max,apple_iphone_11_pro_max,Apple iPhone 11 Pro Max,APPLE IPHONE 11 PRO MAX,canonical,false,false,alta,Nome canonico.
apple_iphone_11_pro_max__ip_11_pro_max,apple_iphone_11_pro_max,IP 11 Pro Max,IP 11 PRO MAX,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_11_pro_max__iphone_11_pro_max,apple_iphone_11_pro_max,iPhone 11 Pro Max,IPHONE 11 PRO MAX,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_11_pro_max__iphone11promax,apple_iphone_11_pro_max,iPhone11ProMax,IPHONE11PROMAX,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_12__12,apple_iphone_12,12,12,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo. Normalizado aparece em mais de um modelo.
apple_iphone_12__apple_iphone_12,apple_iphone_12,Apple iPhone 12,APPLE IPHONE 12,canonical,false,false,alta,Nome canonico.
apple_iphone_12__ip_12,apple_iphone_12,IP 12,IP 12,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_12__iphone_12,apple_iphone_12,iPhone 12,IPHONE 12,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_12__iphone12,apple_iphone_12,iPhone12,IPHONE12,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_12_mini__12_mini,apple_iphone_12_mini,12 Mini,12 MINI,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_12_mini__apple_iphone_12_mini,apple_iphone_12_mini,Apple iPhone 12 Mini,APPLE IPHONE 12 MINI,canonical,false,false,alta,Nome canonico.
apple_iphone_12_mini__ip_12_mini,apple_iphone_12_mini,IP 12 Mini,IP 12 MINI,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_12_mini__iphone_12_mini,apple_iphone_12_mini,iPhone 12 Mini,IPHONE 12 MINI,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_12_mini__iphone12mini,apple_iphone_12_mini,iPhone12Mini,IPHONE12MINI,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_12_pro__12_pro,apple_iphone_12_pro,12 Pro,12 PRO,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_12_pro__apple_iphone_12_pro,apple_iphone_12_pro,Apple iPhone 12 Pro,APPLE IPHONE 12 PRO,canonical,false,false,alta,Nome canonico.
apple_iphone_12_pro__ip_12_pro,apple_iphone_12_pro,IP 12 Pro,IP 12 PRO,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_12_pro__iphone_12_pro,apple_iphone_12_pro,iPhone 12 Pro,IPHONE 12 PRO,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_12_pro__iphone12pro,apple_iphone_12_pro,iPhone12Pro,IPHONE12PRO,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_12_pro_max__12_pro_max,apple_iphone_12_pro_max,12 Pro Max,12 PRO MAX,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_12_pro_max__apple_iphone_12_pro_max,apple_iphone_12_pro_max,Apple iPhone 12 Pro Max,APPLE IPHONE 12 PRO MAX,canonical,false,false,alta,Nome canonico.
apple_iphone_12_pro_max__ip_12_pro_max,apple_iphone_12_pro_max,IP 12 Pro Max,IP 12 PRO MAX,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_12_pro_max__iphone_12_pro_max,apple_iphone_12_pro_max,iPhone 12 Pro Max,IPHONE 12 PRO MAX,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_12_pro_max__iphone12promax,apple_iphone_12_pro_max,iPhone12ProMax,IPHONE12PROMAX,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_13__13,apple_iphone_13,13,13,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo. Normalizado aparece em mais de um modelo.
apple_iphone_13__apple_iphone_13,apple_iphone_13,Apple iPhone 13,APPLE IPHONE 13,canonical,false,false,alta,Nome canonico.
apple_iphone_13__ip_13,apple_iphone_13,IP 13,IP 13,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_13__iphone_13,apple_iphone_13,iPhone 13,IPHONE 13,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_13__iphone13,apple_iphone_13,iPhone13,IPHONE13,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_13_mini__13_mini,apple_iphone_13_mini,13 Mini,13 MINI,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_13_mini__apple_iphone_13_mini,apple_iphone_13_mini,Apple iPhone 13 Mini,APPLE IPHONE 13 MINI,canonical,false,false,alta,Nome canonico.
apple_iphone_13_mini__ip_13_mini,apple_iphone_13_mini,IP 13 Mini,IP 13 MINI,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_13_mini__iphone_13_mini,apple_iphone_13_mini,iPhone 13 Mini,IPHONE 13 MINI,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_13_mini__iphone13mini,apple_iphone_13_mini,iPhone13Mini,IPHONE13MINI,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_13_pro__13_pro,apple_iphone_13_pro,13 Pro,13 PRO,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_13_pro__apple_iphone_13_pro,apple_iphone_13_pro,Apple iPhone 13 Pro,APPLE IPHONE 13 PRO,canonical,false,false,alta,Nome canonico.
apple_iphone_13_pro__ip_13_pro,apple_iphone_13_pro,IP 13 Pro,IP 13 PRO,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_13_pro__iphone_13_pro,apple_iphone_13_pro,iPhone 13 Pro,IPHONE 13 PRO,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_13_pro__iphone13pro,apple_iphone_13_pro,iPhone13Pro,IPHONE13PRO,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_13_pro_max__13_pro_max,apple_iphone_13_pro_max,13 Pro Max,13 PRO MAX,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_13_pro_max__apple_iphone_13_pro_max,apple_iphone_13_pro_max,Apple iPhone 13 Pro Max,APPLE IPHONE 13 PRO MAX,canonical,false,false,alta,Nome canonico.
apple_iphone_13_pro_max__ip_13_pro_max,apple_iphone_13_pro_max,IP 13 Pro Max,IP 13 PRO MAX,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_13_pro_max__iphone_13_pro_max,apple_iphone_13_pro_max,iPhone 13 Pro Max,IPHONE 13 PRO MAX,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_13_pro_max__iphone13promax,apple_iphone_13_pro_max,iPhone13ProMax,IPHONE13PROMAX,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_14__14,apple_iphone_14,14,14,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_14__apple_iphone_14,apple_iphone_14,Apple iPhone 14,APPLE IPHONE 14,canonical,false,false,alta,Nome canonico.
apple_iphone_14__ip_14,apple_iphone_14,IP 14,IP 14,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_14__iphone_14,apple_iphone_14,iPhone 14,IPHONE 14,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_14__iphone14,apple_iphone_14,iPhone14,IPHONE14,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_14_plus__14_plus,apple_iphone_14_plus,14 Plus,14 PLUS,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_14_plus__apple_iphone_14_plus,apple_iphone_14_plus,Apple iPhone 14 Plus,APPLE IPHONE 14 PLUS,canonical,false,false,alta,Nome canonico.
apple_iphone_14_plus__ip_14_plus,apple_iphone_14_plus,IP 14 Plus,IP 14 PLUS,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_14_plus__iphone_14_plus,apple_iphone_14_plus,iPhone 14 Plus,IPHONE 14 PLUS,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_14_plus__iphone14plus,apple_iphone_14_plus,iPhone14Plus,IPHONE14PLUS,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_14_pro__14_pro,apple_iphone_14_pro,14 Pro,14 PRO,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_14_pro__apple_iphone_14_pro,apple_iphone_14_pro,Apple iPhone 14 Pro,APPLE IPHONE 14 PRO,canonical,false,false,alta,Nome canonico.
apple_iphone_14_pro__ip_14_pro,apple_iphone_14_pro,IP 14 Pro,IP 14 PRO,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_14_pro__iphone_14_pro,apple_iphone_14_pro,iPhone 14 Pro,IPHONE 14 PRO,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_14_pro__iphone14pro,apple_iphone_14_pro,iPhone14Pro,IPHONE14PRO,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_14_pro_max__14_pro_max,apple_iphone_14_pro_max,14 Pro Max,14 PRO MAX,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_14_pro_max__apple_iphone_14_pro_max,apple_iphone_14_pro_max,Apple iPhone 14 Pro Max,APPLE IPHONE 14 PRO MAX,canonical,false,false,alta,Nome canonico.
apple_iphone_14_pro_max__ip_14_pro_max,apple_iphone_14_pro_max,IP 14 Pro Max,IP 14 PRO MAX,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_14_pro_max__iphone_14_pro_max,apple_iphone_14_pro_max,iPhone 14 Pro Max,IPHONE 14 PRO MAX,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_14_pro_max__iphone14promax,apple_iphone_14_pro_max,iPhone14ProMax,IPHONE14PROMAX,common_typo,false,false,alta,Alias informado na planilha de capinhas.
apple_iphone_15__15,apple_iphone_15,15,15,short,true,true,media,Alias curto; usar com contexto de marca quando ambiguo. Normalizado aparece em mais de um modelo.
apple_iphone_15__apple_iphone_15,apple_iphone_15,Apple iPhone 15,APPLE IPHONE 15,canonical,false,false,alta,Nome canonico.
apple_iphone_15__ip_15,apple_iphone_15,IP 15,IP 15,marketplace_name,false,false,alta,Abreviacao comum de balcão.
apple_iphone_15__iphone_15,apple_iphone_15,iPhone 15,IPHONE 15,commercial_variant,false,false,alta,Variante comercial sem fabricante principal.
apple_iphone_15__iphone15,apple_iphone_15,iPhone15,IPHONE15,common_typo,false,false,alta,Alias informado na planilha de capinhas.
