alias_id,alias,canonical_model_id,canonical_name,brand,alias_type,source_file,source_row,status,ambiguous,conflict,notes
apple_iphone_11__11,11,apple_iphone_11,Apple iPhone 11,Apple,short,docs/catalogo/seeds/device_aliases_seed_001.csv,2,ativo,true,requer_contexto_marca,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_11__apple_iphone_11,Apple iPhone 11,apple_iphone_11,Apple iPhone 11,Apple,canonical,docs/catalogo/seeds/device_aliases_seed_001.csv,3,ativo,false,false,Nome canonico.
apple_iphone_11__ip_11,IP 11,apple_iphone_11,Apple iPhone 11,Apple,marketplace_name,docs/catalogo/seeds/device_aliases_seed_001.csv,4,ativo,false,false,Abreviacao comum de balcão.
apple_iphone_11__iphone_11,iPhone 11,apple_iphone_11,Apple iPhone 11,Apple,commercial_variant,docs/catalogo/seeds/device_aliases_seed_001.csv,5,ativo,false,false,Variante comercial sem fabricante principal.
apple_iphone_11__iphone11,iPhone11,apple_iphone_11,Apple iPhone 11,Apple,common_typo,docs/catalogo/seeds/device_aliases_seed_001.csv,6,ativo,false,false,Alias informado na planilha de capinhas.
apple_iphone_11_pro__11_pro,11 Pro,apple_iphone_11_pro,Apple iPhone 11 Pro,Apple,short,docs/catalogo/seeds/device_aliases_seed_001.csv,7,ativo,true,requer_contexto_marca,Alias curto; usar com contexto de marca quando ambiguo.
apple_iphone_11_pro__apple_iphone_11_pro,Apple iPhone 11 Pro,apple_iphone_11_pro,Apple iPhone 11 Pro,Apple,canonical,docs/catalogo/seeds/device_aliases_seed_001.csv,8,ativo,false,false,Nome canonico.
apple_iphone_11_pro__ip_11_pro,IP 11 Pro,apple_iphone_11_pro,Apple iPhone 11 Pro,Apple,marketplace_name,docs/catalogo/seeds/device_aliases_seed_001.csv,9,ativo,false,false,Abreviacao comum de balcão.
apple_iphone_11_pro__iphone_11_pro,iPhone 11 Pro,apple_iphone_11_pro,Apple iPhone 11 Pro,Apple,commercial_variant,docs/catalogo/seeds/device_aliases_seed_001.csv,10,ativo,false,false,Variante comercial sem fabricante principal.
apple_iphone_11_pro__iphone11pro,iPhone11Pro,apple_iphone_11_pro,Apple iPhone 11 Pro,Apple,common_typo,docs/catalogo/seeds/device_aliases_seed_001.csv,11,ativo,false,false,Alias informado na planilha de capinhas.
