compatibility_key,compatibility_type,group_name,source_model_key,target_model_key,product_category,status,confidence,source_origin,evidence,requires_dry_test,notes
pelicula_g001__infinix_smart_7__lg_k41s,grupo_pelicula,Super grupo A02 / A03 / A12 / A13 / A23 / A70,infinix_smart_7,lg_k41s,pelicula_tela,precisa_testar,baixa,Consolidação dos fornecedores enviados + tabelas abertas de mercado,HTML DATA #1; tipo Super grupo cruzado; prioridade Muito alta,true,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__lg_k51s,grupo_pelicula,Super grupo A02 / A03 / A12 / A13 / A23 / A70,infinix_smart_7,lg_k51s,pelicula_tela,precisa_testar,baixa,Consolidação dos fornecedores enviados + tabelas abertas de mercado,HTML DATA #1; tipo Super grupo cruzado; prioridade Muito alta,true,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__motorola_moto_e20,grupo_pelicula,Super grupo A02 / A03 / A12 / A13 / A23 / A70,infinix_smart_7,motorola_moto_e20,pelicula_tela,precisa_testar,baixa,Consolidação dos fornecedores enviados + tabelas abertas de mercado,HTML DATA #1; tipo Super grupo cruzado; prioridade Muito alta,true,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__motorola_moto_e7_plus,grupo_pelicula,Super grupo A02 / A03 / A12 / A13 / A23 / A70,infinix_smart_7,motorola_moto_e7_plus,pelicula_tela,precisa_testar,baixa,Consolidação dos fornecedores enviados + tabelas abertas de mercado,HTML DATA #1; tipo Super grupo cruzado; prioridade Muito alta,true,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__motorola_moto_g10,grupo_pelicula,Super grupo A02 / A03 / A12 / A13 / A23 / A70,infinix_smart_7,motorola_moto_g10,pelicula_tela,precisa_testar,baixa,Consolidação dos fornecedores enviados + tabelas abertas de mercado,HTML DATA #1; tipo Super grupo cruzado; prioridade Muito alta,true,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__motorola_moto_g20,grupo_pelicula,Super grupo A02 / A03 / A12 / A13 / A23 / A70,infinix_smart_7,motorola_moto_g20,pelicula_tela,precisa_testar,baixa,Consolidação dos fornecedores enviados + tabelas abertas de mercado,HTML DATA #1; tipo Super grupo cruzado; prioridade Muito alta,true,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__motorola_moto_g30,grupo_pelicula,Super grupo A02 / A03 / A12 / A13 / A23 / A70,infinix_smart_7,motorola_moto_g30,pelicula_tela,precisa_testar,baixa,Consolidação dos fornecedores enviados + tabelas abertas de mercado,HTML DATA #1; tipo Super grupo cruzado; prioridade Muito alta,true,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__motorola_moto_g9,grupo_pelicula,Super grupo A02 / A03 / A12 / A13 / A23 / A70,infinix_smart_7,motorola_moto_g9,pelicula_tela,precisa_testar,baixa,Consolidação dos fornecedores enviados + tabelas abertas de mercado,HTML DATA #1; tipo Super grupo cruzado; prioridade Muito alta,true,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__motorola_moto_g9_play,grupo_pelicula,Super grupo A02 / A03 / A12 / A13 / A23 / A70,infinix_smart_7,motorola_moto_g9_play,pelicula_tela,precisa_testar,baixa,Consolidação dos fornecedores enviados + tabelas abertas de mercado,HTML DATA #1; tipo Super grupo cruzado; prioridade Muito alta,true,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__motorola_moto_one_fusion,grupo_pelicula,Super grupo A02 / A03 / A12 / A13 / A23 / A70,infinix_smart_7,motorola_moto_one_fusion,pelicula_tela,precisa_testar,baixa,Consolidação dos fornecedores enviados + tabelas abertas de mercado,HTML DATA #1; tipo Super grupo cruzado; prioridade Muito alta,true,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__realme_c11,grupo_pelicula,Super grupo A02 / A03 / A12 / A13 / A23 / A70,infinix_smart_7,realme_c11,pelicula_tela,precisa_testar,baixa,Consolidação dos fornecedores enviados + tabelas abertas de mercado,HTML DATA #1; tipo Super grupo cruzado; prioridade Muito alta,true,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
