gap_id,brand,official_model_name,variant,connectivity,technical_code,region,release_year,official_source_url,checked_at,present_in_internal_base,possible_internal_match,confidence,market_relevance_brazil,notes
GAP-001,Motorola,Moto G85 5G,5G,5G,XT2427,Brasil/Global,2024,https://www.motorola.com.br/moto-g85-5g/p,2026-07-22,false,moto_g84_5g,alta,alta,"Sucessor do Moto G84; tela pOLED curva 6.67""; exige película e capinha próprias."
GAP-002,Motorola,Motorola Edge 50 Pro,5G,5G,XT2403,Brasil/Global,2024,https://www.motorola.com.br/motorola-edge-50-pro/p,2026-07-22,false,motorola_edge_40_pro,alta,alta,"Linha premium Edge 50; tela curva 6.7""; lente telefoto; capinha e película exclusivas."
GAP-003,Motorola,Motorola Edge 50 Ultra,5G,5G,XT2401,Brasil/Global,2024,https://www.motorola.com.br/motorola-edge-50-ultra/p,2026-07-22,false,motorola_edge_30_ultra,alta,alta,Topo de linha Motorola 2024 com acabamento em madeira/couro vegano; recortes específicos.
GAP-004,Motorola,Motorola Edge 50 Fusion,5G,5G,XT2429,Brasil/Global,2024,https://www.motorola.com.br/motorola-edge-50-fusion/p,2026-07-22,false,motorola_edge_40_neo,alta,alta,"Intermediário premium muito popular no BR; tela curva 6.7""."
GAP-005,POCO,POCO M6 Pro 4G,4G,4G,2312FPCA6G,Global/Brasil,2024,https://www.po.co/global/product/poco-m6-pro/,2026-07-22,false,redmi_note_13_4g,media,alta,"Intermediário POCO com tela AMOLED 6.67"" e carregamento 67W; gêmeo de projeto do Redmi Note 13 Pro 4G."
GAP-006,POCO,POCO F6 5G,5G,5G,24069PC21G,Global/Brasil,2024,https://www.po.co/global/product/poco-f6/,2026-07-22,false,poco_f5,alta,alta,Lançamento Snapdragon 8s Gen 3 focado em custo-benefício gamer no BR.
GAP-007,Realme,Realme 12 5G,5G,5G,RMX3999,Brasil/Global,2024,https://www.realme.com/br/realme-12-5g,2026-07-22,false,realme_11_5g,alta,media,Intermediário Realme com módulo de câmera circular centralizado.
GAP-008,Realme,Realme 12 Pro+ 5G,5G,5G,RMX3840,Brasil/Global,2024,https://www.realme.com/br/realme-12-pro-plus,2026-07-22,false,realme_11_pro_plus,alta,media,"Câmera periscópica e traseira em couro vegano; tela curva 6.7""."
GAP-009,Infinix,Infinix Note 40 Pro 5G,5G,5G,X6851,Brasil/Global,2024,https://www.infinixmobiles.com.br/,2026-07-22,false,infinix_note_30_5g,media,media,Fabricado/distribuído pela Positivo no Brasil com carregamento magnético MagCharge.
GAP-010,Tecno,Tecno Camon 30 5G,5G,5G,CL7,Global,2024,https://www.tecno-mobile.com/,2026-07-22,false,tecno_spark_20,baixa,baixa,Presença crescente em marketplaces e importadores no BR.
