relation_id,reference_model_id,reference_model,compatible_model_id,compatible_model,film_type,status,confidence,evidence_class,source_file,source_row,source_url,last_verified,conflict,notes
pelicula_g001__infinix_smart_7__lg_k41s,infinix_smart_7,Infinix Smart 7,lg_k41s,LG K41S,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,2,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__lg_k51s,infinix_smart_7,Infinix Smart 7,lg_k51s,LG K51S,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,3,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__motorola_moto_e20,infinix_smart_7,Infinix Smart 7,motorola_moto_e20,Motorola Moto E20,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,4,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__motorola_moto_e7_plus,infinix_smart_7,Infinix Smart 7,motorola_moto_e7_plus,Motorola Moto E7 Plus,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,5,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__motorola_moto_g10,infinix_smart_7,Infinix Smart 7,motorola_moto_g10,Motorola Moto G10,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,6,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__motorola_moto_g20,infinix_smart_7,Infinix Smart 7,motorola_moto_g20,Motorola Moto G20,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,7,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__motorola_moto_g30,infinix_smart_7,Infinix Smart 7,motorola_moto_g30,Motorola Moto G30,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,8,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__motorola_moto_g9,infinix_smart_7,Infinix Smart 7,motorola_moto_g9,Motorola Moto G9,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,9,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__motorola_moto_g9_play,infinix_smart_7,Infinix Smart 7,motorola_moto_g9_play,Motorola Moto G9 Play,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,10,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__motorola_moto_one_fusion,infinix_smart_7,Infinix Smart 7,motorola_moto_one_fusion,Motorola Moto One Fusion,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,11,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__realme_c11,infinix_smart_7,Infinix Smart 7,realme_c11,Realme C11,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,12,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__realme_c21y,infinix_smart_7,Infinix Smart 7,realme_c21y,Realme C21Y,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,13,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
pelicula_g001__infinix_smart_7__realme_c25,infinix_smart_7,Infinix Smart 7,realme_c25,Realme C25,pelicula_tela,precisa_testar,baixa,PRECISA_TESTAR,docs/catalogo/seeds/device_compatibilities_seed_001.csv,14,,2026-07-09,pendente_teste_seco,"Use para busca de balcão: ao digitar A02/A03/A13/G20/G9, mostrar todos. Testar seco: borda/câmera/sensor podem variar por molde. Compatibilidade de pelicula nao prova compatibilidade de capinha."
